
"2019-05-24T11:31:49.932706",0.70,124.90,27.30,25.80,33.00
"2019-05-24T11:31:50.952795",1.20,154.40,27.80,32.30,30.90
"2019-05-24T11:31:51.970980",0.00,16.50,29.20,24.20,38.70
"2019-05-24T11:31:52.995885",0.30,32.70,32.90,24.00,21.20
"2019-05-24T11:31:54.012844",0.30,116.90,30.90,35.70,36.00
"2019-05-24T11:31:55.030434",1.30,109.90,27.80,21.60,33.50
"2019-05-24T11:31:56.048638",1.70,182.60,31.20,26.70,21.00
"2019-05-24T11:31:57.067913",1.30,97.90,34.90,37.90,22.10
"2019-05-24T11:31:58.086380",0.70,67.20,39.30,33.60,28.50
"2019-05-24T11:31:59.110709",0.50,122.80,29.10,39.40,35.70
"2019-05-24T11:32:00.129110",0.10,115.30,30.80,34.40,26.80
"2019-05-24T11:32:01.144268",1.00,12.40,39.60,33.00,30.30
"2019-05-24T11:32:02.183472",0.20,66.60,34.90,22.40,20.10
"2019-05-24T11:32:03.203947",1.30,97.70,20.80,22.80,33.30
"2019-05-24T11:32:04.223502",1.80,98.10,23.50,21.30,26.50
"2019-05-24T11:32:05.241604",1.40,106.30,33.60,22.50,26.90
"2019-05-24T11:32:06.261269",1.50,9.40,22.90,30.10,31.70
"2019-05-24T11:32:07.279300",1.50,10.50,20.40,25.10,29.80
"2019-05-24T11:32:08.297700",0.80,112.30,30.50,28.20,35.20
"2019-05-24T11:32:09.316779",0.60,71.60,33.70,23.80,34.40
"2019-05-24T11:32:10.337389",0.10,89.70,27.10,22.80,33.70
"2019-05-24T11:32:11.358564",1.80,117.70,39.70,29.40,30.40
"2019-05-24T11:32:12.376677",0.90,23.10,34.50,37.50,23.50
"2019-05-24T11:32:13.395604",1.80,14.20,39.90,36.80,21.20
"2019-05-24T11:32:14.416135",0.00,155.70,39.40,20.80,39.50
"2019-05-24T11:32:15.435883",0.80,111.30,33.00,20.60,36.20
"2019-05-24T11:32:16.455749",0.20,136.50,28.20,25.20,36.70
"2019-05-24T11:32:17.475337",0.10,169.50,31.20,27.10,30.10
"2019-05-24T11:32:18.495990",1.00,83.10,33.80,25.70,21.60
"2019-05-24T11:32:19.514643",1.00,164.00,27.90,33.50,20.60
"2019-05-24T11:32:20.534895",1.20,9.80,29.50,31.90,25.40
"2019-05-24T11:32:21.554474",0.30,28.90,36.00,30.50,32.60
